learner_id,course_id,module_id,content_type,assessment_score,feedback_rating,content_difficulty,recommended_courses
139,7,771,Video,75,Good,Easy,6
140,4,467,Quiz,56,Poor,Easy,5
141,7,845,Video,64,Average,Intermediate,9
142,8,304,Video,4,Excellent,Hard,17
143,16,850,Text,42,Excellent,Easy,13
144,2,527,Video,22,Excellent,Easy,3
145,4,384,Quiz,14,Excellent,Intermediate,5
146,9,724,Text,29,Good,Intermediate,18
147,12,64,Video,65,Excellent,Intermediate,10
148,11,545,Text,84,Excellent,Hard,4
149,17,897,Text,48,Poor,Hard,10
150,17,220,Text,68,Good,Hard,9
151,12,935,Video,34,Good,Easy,12
152,18,730,Text,34,Poor,Easy,4
153,4,996,Quiz,64,Average,Easy,8
154,16,685,Video,89,Excellent,Easy,11
155,18,767,Video,7,Poor,Intermediate,14
156,3,629,Text,68,Excellent,Hard,7
157,16,629,Quiz,20,Excellent,Easy,15
158,11,436,Quiz,78,Excellent,Easy,13
159,15,621,Video,21,Good,Easy,19
160,10,562,Quiz,2,Poor,Easy,18
161,5,47,Text,73,Good,Easy,18
162,17,621,Text,23,Poor,Hard,8
163,2,81,Text,93,Average,Hard,12
164,18,512,Quiz,53,Average,Easy,18
165,17,116,Video,59,Poor,Hard,6
166,6,407,Quiz,36,Good,Intermediate,14
167,3,133,Quiz,57,Average,Hard,7
168,16,262,Video,53,Average,Hard,2
169,11,423,Text,63,Good,Hard,17
170,2,894,Quiz,63,Average,Intermediate,20
171,14,154,Text,22,Good,Intermediate,13
172,8,51,Quiz,74,Average,Hard,10
173,4,325,Quiz,63,Average,Intermediate,16
174,13,192,Video,49,Excellent,Intermediate,2
175,7,673,Text,72,Good,Easy,5
176,11,210,Text,51,Excellent,Hard,12
177,4,342,Text,15,Good,Intermediate,9
178,13,588,Video,34,Poor,Easy,15
179,7,865,Video,29,Excellent,Intermediate,6
180,15,333,Text,1,Average,Easy,16
181,5,866,Quiz,91,Excellent,Hard,14
182,14,816,Text,88,Good,Hard,16
183,18,860,Text,12,Good,Easy,17
184,15,281,Quiz,83,Good,Easy,5
185,16,51,Text,86,Excellent,Intermediate,17
186,8,434,Quiz,29,Good,Intermediate,6
187,13,791,Video,49,Poor,Intermediate,20
188,11,227,Video,4,Excellent,Easy,9
189,3,238,Quiz,11,Poor,Intermediate,19
190,6,829,Quiz,72,Good,Intermediate,19
191,2,577,Text,33,Good,Intermediate,10
192,17,880,Quiz,51,Excellent,Hard,1
193,15,966,Video,8,Poor,Hard,17
194,13,418,Quiz,27,Average,Easy,15
195,14,698,Text,25,Average,Easy,16
196,8,616,Text,88,Excellent,Hard,9
197,9,977,Video,55,Poor,Easy,19
198,16,441,Video,94,Poor,Intermediate,20
199,19,885,Video,43,Poor,Hard,6
200,16,94,Quiz,42,Average,Hard,1
201,19,324,Quiz,44,Excellent,Intermediate,18
202,14,26,Text,68,Poor,Hard,5
203,13,581,Quiz,45,Poor,Easy,14
204,15,73,Video,93,Poor,Intermediate,8
205,4,129,Text,14,Excellent,Intermediate,9
206,7,870,Text,6,Average,Hard,6
207,12,195,Quiz,88,Good,Hard,4
208,15,277,Video,5,Average,Hard,20
209,3,569,Quiz,64,Excellent,Easy,9
210,6,240,Text,44,Excellent,Easy,10
211,9,715,Video,13,Average,Easy,11
212,1,860,Text,10,Average,Hard,20
213,5,258,Text,8,Average,Intermediate,5
214,12,439,Video,60,Poor,Intermediate,1
215,11,504,Text,75,Poor,Hard,15
216,6,809,Video,65,Average,Hard,18
217,12,69,Video,77,Average,Easy,13
218,17,411,Text,12,Excellent,Easy,19
219,12,835,Text,0,Good,Easy,18
220,18,303,Video,82,Good,Hard,9
221,3,611,Quiz,61,Average,Easy,10
222,17,528,Video,74,Excellent,Intermediate,8
223,1,132,Quiz,37,Good,Easy,3
224,4,961,Video,64,Good,Intermediate,9
225,12,730,Text,85,Poor,Hard,17
226,13,260,Quiz,32,Average,Easy,20
227,1,16,Text,12,Excellent,Easy,13
228,13,536,Video,31,Good,Intermediate,7
229,10,323,Text,4,Average,Hard,10
230,17,611,Quiz,18,Excellent,Hard,13
231,14,260,Video,14,Poor,Intermediate,9
232,5,154,Video,93,Excellent,Intermediate,7
233,12,492,Text,95,Average,Intermediate,3
234,11,749,Quiz,39,Average,Easy,6
235,16,966,Quiz,73,Poor,Easy,1
236,12,297,Quiz,34,Average,Intermediate,7
237,15,389,Quiz,37,Poor,Intermediate,20
238,6,414,Video,77,Average,Easy,1
239,3,298,Text,81,Good,Hard,17
240,5,51,Text,85,Average,Easy,6
241,16,911,Video,1,Good,Hard,16
242,1,678,Text,26,Excellent,Intermediate,17
243,1,907,Text,90,Good,Intermediate,12
244,6,506,Quiz,68,Good,Intermediate,12
245,8,554,Video,56,Poor,Intermediate,13
246,12,934,Text,24,Good,Hard,6
247,19,65,Video,87,Poor,Intermediate,3
248,2,900,Quiz,20,Poor,Hard,17
249,1,835,Video,28,Good,Intermediate,5
250,11,763,Video,86,Average,Easy,20
251,3,486,Quiz,90,Poor,Intermediate,4
252,2,39,Quiz,81,Average,Intermediate,5
253,18,483,Video,15,Good,Intermediate,17
254,3,151,Text,24,Average,Hard,12
255,13,576,Quiz,63,Excellent,Hard,17
256,1,931,Video,48,Good,Intermediate,16
257,18,9,Text,57,Poor,Hard,14
258,1,62,Quiz,29,Excellent,Easy,3
259,7,809,Text,15,Average,Intermediate,1
260,19,338,Text,81,Excellent,Hard,14
261,13,106,Text,81,Poor,Hard,11
262,19,398,Quiz,86,Excellent,Hard,13
263,5,475,Text,43,Average,Hard,20
264,16,230,Quiz,83,Average,Easy,9
265,16,449,Quiz,5,Good,Intermediate,15
266,15,520,Text,84,Good,Easy,6
267,13,257,Quiz,6,Excellent,Hard,7
268,18,508,Text,56,Poor,Hard,3
269,1,707,Video,25,Good,Easy,1
270,17,65,Text,43,Good,Hard,5
271,8,1,Video,40,Good,Hard,16
272,2,13,Quiz,76,Average,Easy,10
273,19,795,Quiz,76,Excellent,Hard,9
274,12,60,Video,62,Poor,Intermediate,5
275,2,18,Quiz,53,Poor,Hard,5
276,9,496,Quiz,17,Good,Intermediate,4
277,8,960,Text,44,Good,Hard,8
278,19,735,Quiz,97,Excellent,Intermediate,20
279,15,447,Quiz,44,Average,Intermediate,8
280,14,165,Video,34,Excellent,Intermediate,7
281,6,775,Quiz,59,Poor,Easy,2
282,3,223,Video,48,Good,Hard,1
283,2,542,Video,53,Poor,Hard,16
284,11,86,Video,5,Average,Hard,7
285,6,880,Video,23,Average,Hard,2
286,6,671,Text,83,Good,Intermediate,11
287,7,889,Quiz,91,Poor,Intermediate,11
288,4,884,Video,60,Poor,Easy,13
289,17,882,Text,74,Average,Hard,11
290,18,214,Video,57,Good,Easy,11
291,8,342,Video,0,Excellent,Intermediate,20
292,8,67,Video,83,Average,Easy,3
293,5,143,Quiz,87,Good,Easy,12
294,2,85,Video,25,Average,Hard,5
295,15,359,Text,79,Poor,Hard,10
296,9,462,Quiz,35,Poor,Intermediate,11
297,18,646,Text,60,Average,Easy,9
298,13,271,Quiz,73,Good,Intermediate,4
299,18,124,Video,62,Good,Intermediate,5
300,16,824,Video,80,Good,Intermediate,5
301,8,780,Quiz,82,Average,Hard,4
302,4,795,Text,71,Poor,Hard,6
303,17,273,Text,66,Good,Hard,9
304,15,924,Text,35,Average,Intermediate,18
305,16,943,Text,11,Good,Easy,2
306,6,922,Video,93,Excellent,Hard,10
307,19,992,Quiz,97,Excellent,Easy,14
308,6,926,Video,72,Average,Easy,10
309,14,95,Text,83,Poor,Intermediate,18
310,7,755,Video,75,Average,Hard,19
311,8,514,Video,13,Poor,Intermediate,8
312,8,622,Quiz,1,Poor,Hard,19
313,17,16,Text,26,Good,Easy,7
314,11,409,Quiz,32,Good,Intermediate,18
315,6,605,Quiz,28,Poor,Easy,7
316,3,427,Text,97,Average,Intermediate,11
317,13,730,Video,21,Poor,Intermediate,20
318,4,767,Quiz,3,Excellent,Easy,5
319,19,4,Text,0,Good,Intermediate,3
320,15,994,Text,62,Average,Hard,16
321,12,748,Text,9,Average,Easy,9
322,3,433,Video,29,Poor,Easy,5
323,10,330,Quiz,92,Average,Intermediate,9
324,15,264,Text,67,Excellent,Easy,6
325,2,395,Video,20,Good,Easy,5
326,15,199,Quiz,64,Average,Easy,20
327,7,813,Video,7,Average,Hard,1
328,11,55,Quiz,13,Good,Easy,20
329,16,7,Quiz,17,Average,Hard,1
330,14,925,Quiz,84,Excellent,Intermediate,4
331,2,856,Text,46,Good,Hard,20
332,5,273,Text,97,Excellent,Hard,11
333,8,178,Text,75,Poor,Intermediate,15
334,7,602,Quiz,81,Good,Hard,18
335,5,255,Text,23,Excellent,Hard,9
336,2,725,Text,79,Poor,Hard,9
337,19,723,Quiz,5,Good,Easy,15
338,3,834,Text,73,Average,Easy,13
339,13,201,Quiz,20,Excellent,Intermediate,16
340,18,871,Video,81,Average,Easy,18
341,7,659,Quiz,80,Average,Hard,6
342,6,697,Quiz,95,Average,Easy,9
343,17,567,Text,80,Poor,Hard,12
344,3,971,Quiz,19,Excellent,Intermediate,16
345,1,197,Quiz,38,Poor,Easy,6
346,3,879,Text,3,Excellent,Hard,5
347,1,704,Video,96,Average,Easy,19
348,19,793,Quiz,58,Poor,Easy,15
349,1,615,Video,3,Poor,Intermediate,16
350,16,469,Video,44,Good,Easy,3
351,16,556,Text,25,Good,Intermediate,7
352,18,782,Quiz,79,Excellent,Hard,2
353,17,4,Quiz,83,Average,Hard,3
354,2,34,Text,86,Average,Hard,14
355,7,950,Text,10,Poor,Easy,2
356,17,604,Video,21,Average,Intermediate,15
357,14,11,Quiz,57,Poor,Hard,7
358,16,505,Quiz,3,Average,Intermediate,9
359,6,809,Quiz,57,Poor,Easy,4
360,5,260,Quiz,31,Good,Intermediate,5
361,4,125,Text,52,Good,Intermediate,1
362,3,230,Text,32,Excellent,Easy,16
363,6,175,Quiz,9,Poor,Easy,3
364,17,831,Quiz,29,Average,Intermediate,20
365,3,904,Text,31,Good,Hard,14
366,9,714,Video,70,Good,Easy,16
367,10,960,Video,12,Excellent,Intermediate,17
368,4,987,Video,14,Good,Hard,1
369,1,803,Quiz,65,Good,Intermediate,11
370,2,351,Text,67,Good,Intermediate,18
371,2,553,Video,37,Good,Intermediate,10
372,2,604,Video,68,Excellent,Easy,17
373,1,177,Text,17,Excellent,Hard,9
374,11,653,Text,26,Good,Intermediate,5
375,12,298,Text,3,Poor,Hard,8
376,12,753,Text,83,Good,Intermediate,9
377,3,548,Video,78,Poor,Easy,1
378,14,60,Quiz,60,Excellent,Intermediate,18
379,4,557,Video,80,Average,Intermediate,19
380,16,205,Quiz,36,Average,Easy,8
381,12,682,Text,95,Average,Easy,4
382,14,403,Quiz,12,Average,Easy,12
383,18,796,Video,20,Poor,Easy,15
384,16,916,Video,35,Average,Intermediate,13
385,7,936,Quiz,40,Excellent,Easy,3
386,9,61,Quiz,25,Excellent,Hard,14
387,12,888,Quiz,20,Poor,Intermediate,15
388,3,335,Video,3,Good,Intermediate,17
389,10,678,Quiz,15,Excellent,Hard,1
390,17,554,Quiz,38,Excellent,Easy,18
391,10,567,Quiz,61,Average,Hard,14
392,10,848,Quiz,89,Poor,Hard,13
393,3,430,Quiz,61,Poor,Intermediate,12
394,5,632,Quiz,77,Excellent,Intermediate,3
395,8,781,Quiz,50,Poor,Hard,19
396,19,815,Video,29,Poor,Hard,16
397,15,6,Quiz,72,Excellent,Easy,7
398,10,73,Text,96,Excellent,Intermediate,8
399,1,723,Text,63,Excellent,Easy,17
400,6,646,Video,12,Excellent,Easy,18
401,18,790,Video,73,Poor,Intermediate,1
402,4,502,Video,30,Poor,Intermediate,8
403,10,251,Video,47,Excellent,Hard,13
404,4,397,Text,82,Good,Hard,7
405,7,984,Video,82,Excellent,Hard,19
406,5,67,Text,83,Good,Hard,15
407,19,202,Quiz,57,Average,Intermediate,12
408,10,132,Video,58,Average,Intermediate,10
409,12,112,Video,91,Poor,Easy,18
410,8,199,Text,49,Average,Easy,7
411,9,647,Text,51,Average,Hard,1
412,18,745,Video,6,Average,Hard,20
413,11,382,Text,54,Good,Intermediate,7
414,1,651,Quiz,32,Excellent,Hard,13
415,5,702,Text,65,Excellent,Hard,15
416,2,104,Video,99,Poor,Easy,9
417,19,398,Video,4,Excellent,Hard,9
418,1,957,Quiz,44,Average,Hard,2
419,15,93,Video,3,Good,Hard,2
420,12,263,Text,4,Poor,Hard,5
421,16,619,Quiz,44,Excellent,Intermediate,5
422,19,932,Video,61,Average,Intermediate,10
423,10,843,Quiz,40,Excellent,Easy,17
424,5,127,Video,20,Average,Hard,15
425,15,133,Video,39,Poor,Intermediate,17
426,3,589,Video,62,Poor,Hard,9
427,3,643,Text,48,Good,Easy,5
428,15,754,Quiz,80,Excellent,Easy,12
429,17,202,Text,51,Good,Easy,17
430,4,763,Quiz,63,Excellent,Hard,19
431,14,232,Quiz,87,Excellent,Hard,17
432,5,597,Video,68,Excellent,Intermediate,16
433,11,480,Text,2,Poor,Hard,4
434,14,792,Video,59,Good,Hard,4
435,7,706,Text,26,Excellent,Intermediate,6
436,8,697,Quiz,56,Good,Easy,12
437,12,276,Video,68,Average,Intermediate,8
438,6,87,Text,26,Good,Hard,18
439,16,615,Video,37,Poor,Hard,1
440,15,154,Quiz,3,Excellent,Hard,19
441,6,89,Video,2,Good,Easy,19
442,5,550,Text,23,Poor,Easy,1
443,5,624,Video,59,Good,Easy,8
444,14,342,Text,49,Excellent,Easy,20
445,15,894,Text,11,Good,Hard,20
446,16,761,Text,59,Poor,Hard,5
447,16,966,Text,52,Poor,Hard,5
448,13,868,Video,73,Excellent,Intermediate,19
449,19,7,Video,88,Excellent,Hard,2
450,12,451,Video,73,Excellent,Intermediate,2
451,12,709,Video,43,Poor,Intermediate,6
452,18,509,Text,78,Excellent,Intermediate,7
453,17,29,Video,57,Excellent,Easy,11
454,17,496,Video,0,Good,Hard,16
455,17,139,Quiz,64,Excellent,Hard,18
456,2,179,Video,69,Good,Hard,16
457,7,336,Quiz,20,Excellent,Hard,6
458,13,789,Quiz,23,Poor,Intermediate,20
459,9,258,Video,8,Good,Intermediate,3
460,1,409,Video,43,Average,Intermediate,20
461,8,51,Quiz,28,Excellent,Easy,18
462,6,526,Video,75,Poor,Easy,8
463,11,123,Text,15,Poor,Intermediate,16
464,5,214,Video,88,Excellent,Intermediate,3
465,16,793,Quiz,26,Poor,Easy,19
466,15,112,Video,77,Good,Easy,14
467,1,108,Video,60,Poor,Intermediate,16
468,5,477,Video,32,Poor,Easy,13
469,15,673,Text,34,Good,Intermediate,15
470,4,929,Text,19,Good,Easy,2
471,16,311,Text,46,Good,Hard,15
472,7,30,Video,35,Average,Intermediate,14
473,4,379,Quiz,54,Good,Easy,12
474,5,596,Text,5,Excellent,Intermediate,17
475,16,135,Video,75,Average,Easy,20
476,3,784,Text,64,Good,Easy,19
477,9,611,Text,59,Poor,Easy,18
478,18,325,Text,81,Good,Easy,4
479,4,610,Text,26,Excellent,Easy,18
480,9,78,Quiz,98,Good,Hard,18
481,9,425,Quiz,92,Average,Easy,20
482,17,79,Text,8,Good,Easy,16
483,10,389,Video,44,Poor,Hard,13
484,13,173,Quiz,73,Excellent,Hard,18
485,17,26,Video,39,Poor,Hard,2
486,18,281,Text,31,Average,Easy,8
487,13,371,Video,5,Average,Intermediate,1
488,15,502,Quiz,84,Average,Hard,20
489,17,447,Text,85,Good,Intermediate,15
490,4,33,Video,24,Average,Hard,17
491,11,468,Video,40,Poor,Hard,12
492,15,340,Quiz,14,Good,Hard,7
493,2,720,Quiz,0,Poor,Hard,2
494,11,34,Quiz,51,Excellent,Intermediate,8
495,3,916,Quiz,44,Good,Easy,10
496,5,563,Quiz,2,Average,Hard,20
497,19,950,Text,41,Good,Hard,8
498,19,506,Quiz,7,Average,Intermediate,3
499,12,920,Video,75,Excellent,Easy,11
500,17,712,Text,82,Good,Intermediate,19
501,19,616,Video,90,Poor,Easy,14
502,18,171,Text,99,Average,Easy,7
503,3,687,Quiz,46,Good,Easy,20
504,18,614,Video,43,Average,Easy,12
505,14,737,Video,51,Average,Intermediate,8
506,19,601,Quiz,91,Poor,Hard,10
507,5,995,Video,86,Poor,Intermediate,18
508,19,833,Quiz,40,Excellent,Easy,12
509,5,132,Video,81,Excellent,Easy,17
510,6,821,Quiz,33,Average,Easy,2
511,14,266,Video,67,Poor,Intermediate,1
512,9,714,Quiz,97,Average,Easy,11
513,9,533,Quiz,85,Average,Easy,18
514,19,909,Text,84,Poor,Intermediate,13
515,7,402,Quiz,90,Excellent,Hard,12
516,9,343,Video,35,Average,Hard,11
517,11,578,Text,81,Average,Easy,1
518,8,204,Quiz,84,Good,Intermediate,17
519,7,880,Quiz,99,Excellent,Intermediate,2
520,13,619,Video,53,Average,Hard,3
521,10,896,Video,42,Good,Easy,19
522,8,45,Text,87,Average,Intermediate,19
523,6,841,Text,16,Poor,Easy,13
524,16,867,Quiz,97,Good,Hard,15
525,3,773,Text,50,Excellent,Hard,5
526,1,510,Video,97,Poor,Hard,18
527,15,601,Video,68,Excellent,Hard,2
528,5,418,Video,68,Good,Easy,16
529,2,348,Text,1,Excellent,Easy,4
530,12,501,Video,71,Average,Easy,9
531,18,243,Video,62,Excellent,Hard,11
532,13,189,Text,88,Excellent,Intermediate,1
533,15,26,Text,49,Good,Easy,16
534,13,196,Quiz,78,Excellent,Easy,16
535,17,244,Video,27,Good,Easy,3
536,7,601,Text,15,Poor,Intermediate,18
537,3,527,Text,86,Excellent,Easy,9
538,6,928,Quiz,61,Excellent,Hard,19
539,9,930,Text,88,Poor,Easy,15
540,18,140,Quiz,30,Excellent,Easy,6
541,7,346,Text,60,Poor,Easy,5
542,12,67,Text,67,Poor,Intermediate,6
543,5,543,Text,52,Poor,Hard,2
544,5,989,Video,38,Poor,Hard,6
545,16,766,Quiz,67,Average,Easy,18
546,14,602,Text,3,Poor,Hard,3
547,19,221,Text,26,Excellent,Easy,12
548,3,458,Quiz,59,Poor,Hard,3
549,16,483,Text,29,Average,Hard,12
550,18,42,Video,21,Poor,Hard,12
551,3,795,Quiz,47,Excellent,Easy,16
552,9,594,Video,80,Excellent,Easy,9
553,19,82,Quiz,17,Good,Hard,16
554,16,631,Text,80,Average,Intermediate,12
555,5,319,Text,58,Poor,Hard,13
556,13,253,Video,49,Average,Easy,7
557,15,718,Video,22,Good,Intermediate,4
558,18,525,Video,44,Average,Intermediate,15
559,9,577,Quiz,18,Poor,Hard,6
560,16,733,Quiz,63,Excellent,Intermediate,19
561,7,854,Quiz,87,Good,Intermediate,15
562,19,30,Text,79,Good,Intermediate,5
563,8,661,Quiz,47,Excellent,Easy,2
564,14,516,Video,52,Good,Easy,16
565,14,204,Text,22,Good,Hard,1
566,15,93,Text,37,Good,Hard,7
567,7,835,Video,54,Excellent,Hard,13
568,11,761,Text,65,Average,Easy,12
569,6,954,Text,96,Average,Intermediate,18
570,9,191,Quiz,7,Average,Hard,1
571,16,359,Quiz,56,Poor,Hard,1
572,5,533,Video,93,Average,Easy,17
573,7,425,Text,40,Poor,Easy,6
574,18,276,Video,15,Good,Hard,3
575,7,457,Quiz,14,Poor,Hard,3
576,1,597,Quiz,10,Excellent,Hard,18
577,10,92,Quiz,29,Excellent,Easy,3
578,8,387,Video,13,Excellent,Easy,1
579,11,385,Video,13,Average,Easy,8
580,12,74,Quiz,86,Poor,Easy,9
581,4,906,Video,14,Poor,Hard,1
582,17,866,Video,67,Average,Easy,19
583,17,103,Text,46,Poor,Hard,13
584,10,354,Text,87,Excellent,Intermediate,10
585,14,935,Text,50,Poor,Intermediate,6
586,7,271,Text,80,Excellent,Easy,2
587,6,960,Video,76,Good,Hard,14
588,2,413,Text,38,Good,Easy,7
589,11,136,Video,50,Good,Hard,3
590,11,866,Video,48,Excellent,Easy,13
591,3,984,Quiz,43,Good,Intermediate,13
592,6,575,Quiz,14,Excellent,Intermediate,18
593,13,897,Quiz,97,Poor,Easy,20
594,15,214,Text,14,Excellent,Intermediate,1
595,17,809,Text,9,Poor,Intermediate,13
596,2,953,Video,44,Excellent,Intermediate,11
597,16,693,Video,95,Good,Easy,8
598,6,215,Quiz,41,Good,Hard,6
599,10,464,Quiz,4,Excellent,Intermediate,18
600,13,703,Quiz,53,Poor,Hard,19
601,4,873,Quiz,0,Average,Hard,17
602,1,333,Quiz,52,Good,Hard,4
603,1,679,Video,83,Poor,Hard,16
604,7,553,Quiz,98,Average,Easy,1
605,9,441,Text,41,Excellent,Hard,17
606,12,294,Quiz,11,Good,Hard,7
607,17,301,Text,5,Poor,Hard,3
608,2,871,Quiz,18,Good,Hard,19
609,7,503,Video,42,Good,Hard,17
610,8,591,Video,97,Good,Hard,20
611,17,548,Text,30,Poor,Hard,13
612,5,91,Text,81,Average,Easy,4
613,6,788,Text,94,Poor,Intermediate,15
614,18,194,Text,56,Poor,Easy,17
615,6,200,Text,59,Average,Easy,5
616,4,562,Video,40,Average,Easy,6
617,19,859,Text,26,Average,Easy,8
618,2,322,Video,42,Excellent,Hard,17
619,8,638,Video,69,Excellent,Easy,2
620,5,370,Video,26,Good,Intermediate,9
621,2,530,Quiz,70,Good,Hard,3
622,8,538,Quiz,85,Excellent,Intermediate,8
623,9,358,Video,91,Excellent,Hard,13
624,6,732,Video,99,Poor,Intermediate,19
625,6,378,Quiz,96,Good,Hard,20
626,9,499,Video,59,Good,Intermediate,16
627,9,599,Video,69,Excellent,Intermediate,12
628,12,894,Quiz,15,Good,Hard,13
629,2,722,Video,34,Excellent,Hard,2
630,10,189,Text,6,Excellent,Intermediate,1
