learner_id,previous_performance,learning_style,learning_goal,engagement_time,completion_rate,preferred_pacing,content_interaction,prev_course,course_id,module_id,content_type,assessment_score,feedback_rating,content_difficulty,recommended_courses
43,72,auditory,Master topic,167,0.64,Fast,7,1,16,392,Text,10,Good,Hard,15
44,40,kinesthetic,Master topic,199,0.78,Moderate,34,14,16,2,Text,67,Average,Hard,19
45,93,kinesthetic,Complete course,102,0.35,Slow,35,19,6,946,Quiz,82,Average,Hard,1
46,97,kinesthetic,Complete course,113,0.52,Fast,2,9,7,306,Text,91,Average,Intermediate,15
47,56,kinesthetic,Master topic,209,0.27,Slow,5,11,18,498,Quiz,41,Good,Easy,6
48,74,auditory,Master topic,100,0.96,Moderate,23,2,9,533,Quiz,34,Average,Easy,12
49,98,visual,Gain certification,128,0.6,Moderate,29,6,19,22,Video,79,Excellent,Intermediate,3
50,99,auditory,Master topic,241,0.94,Moderate,13,12,3,42,Quiz,52,Good,Hard,9
51,11,kinesthetic,Gain certification,74,0.76,Fast,23,16,13,551,Video,95,Poor,Easy,20
52,82,kinesthetic,Master topic,290,0.43,Slow,33,8,3,222,Video,79,Average,Easy,9
53,43,auditory,Gain certification,226,0.67,Moderate,34,5,19,5,Quiz,20,Good,Easy,11
54,40,kinesthetic,Master topic,122,0.89,Slow,47,6,17,479,Text,4,Poor,Easy,2
55,80,visual,Complete course,150,0.75,Fast,30,7,5,915,Video,16,Excellent,Hard,3
56,68,kinesthetic,Complete course,292,0.66,Slow,33,12,2,798,Video,26,Excellent,Easy,14
57,14,visual,Master topic,93,0.76,Moderate,23,7,4,968,Text,32,Average,Intermediate,18
58,81,visual,Gain certification,200,0.59,Moderate,31,17,19,766,Text,55,Poor,Hard,8
59,25,auditory,Master topic,181,0.59,Slow,24,13,15,115,Video,84,Poor,Intermediate,17
60,40,visual,Master topic,273,0.2,Slow,40,2,8,235,Text,52,Average,Hard,16
61,5,auditory,Complete course,98,0.82,Moderate,33,3,14,44,Text,41,Excellent,Intermediate,12
62,54,kinesthetic,Gain certification,241,0.97,Slow,13,6,17,749,Video,56,Excellent,Intermediate,17
63,82,visual,Complete course,142,0.99,Fast,48,9,2,793,Text,5,Excellent,Hard,5
64,87,kinesthetic,Complete course,159,0.73,Fast,33,10,16,404,Quiz,1,Excellent,Intermediate,5
65,95,kinesthetic,Complete course,211,0.76,Moderate,24,20,12,630,Quiz,17,Good,Intermediate,11
66,97,kinesthetic,Gain certification,127,0.78,Slow,3,15,14,299,Quiz,47,Excellent,Easy,13
67,72,visual,Complete course,106,1.0,Fast,24,10,17,860,Text,26,Excellent,Easy,6
68,68,auditory,Complete course,125,0.93,Fast,10,6,6,440,Text,89,Good,Intermediate,2
69,31,auditory,Master topic,299,0.63,Fast,22,3,7,656,Quiz,78,Good,Intermediate,15
70,87,visual,Master topic,160,0.87,Fast,45,15,18,685,Video,16,Poor,Easy,3
71,94,visual,Gain certification,230,0.99,Slow,30,8,8,103,Text,40,Excellent,Intermediate,20
72,15,auditory,Gain certification,67,0.48,Slow,35,18,12,380,Quiz,50,Poor,Intermediate,3
73,25,visual,Master topic,239,0.76,Fast,38,8,6,645,Video,55,Average,Hard,12
74,23,kinesthetic,Complete course,223,0.64,Slow,4,16,7,342,Quiz,67,Good,Intermediate,9
75,61,auditory,Master topic,48,0.96,Moderate,31,6,6,326,Text,8,Poor,Intermediate,9
76,4,kinesthetic,Gain certification,103,0.58,Slow,45,18,15,618,Video,39,Excellent,Intermediate,11
77,21,kinesthetic,Gain certification,32,0.43,Moderate,12,16,10,828,Quiz,33,Good,Intermediate,13
78,56,kinesthetic,Gain certification,97,0.42,Slow,24,19,1,99,Text,28,Poor,Hard,15
79,49,auditory,Gain certification,186,0.31,Slow,25,17,11,668,Video,65,Average,Hard,11
80,33,kinesthetic,Complete course,181,0.38,Slow,46,4,3,493,Quiz,69,Average,Hard,8
81,24,visual,Master topic,61,0.24,Moderate,19,7,11,609,Video,33,Excellent,Easy,8
82,55,kinesthetic,Master topic,150,0.43,Fast,3,14,6,879,Text,55,Good,Hard,13
83,3,kinesthetic,Gain certification,250,0.31,Slow,33,13,7,306,Quiz,25,Good,Hard,15
84,10,kinesthetic,Master topic,190,0.43,Slow,35,6,2,562,Text,87,Excellent,Intermediate,11
85,96,auditory,Complete course,256,0.73,Moderate,46,6,4,743,Text,18,Average,Intermediate,15
86,84,visual,Master topic,62,0.86,Slow,29,10,14,934,Video,37,Average,Intermediate,18
87,36,auditory,Master topic,253,0.77,Fast,11,14,15,773,Video,29,Good,Intermediate,3
88,28,auditory,Complete course,116,0.47,Slow,28,4,17,350,Quiz,97,Average,Hard,7
89,16,visual,Gain certification,281,0.47,Slow,10,10,9,222,Quiz,10,Excellent,Intermediate,5
90,15,visual,Master topic,152,0.67,Fast,49,17,1,37,Text,73,Poor,Intermediate,7
91,29,auditory,Gain certification,111,0.66,Slow,23,7,11,730,Quiz,9,Excellent,Easy,11
92,13,kinesthetic,Master topic,118,0.94,Slow,40,9,6,226,Quiz,98,Excellent,Intermediate,6
93,1,auditory,Complete course,55,0.83,Fast,47,9,2,991,Text,20,Excellent,Easy,16
94,28,kinesthetic,Gain certification,153,0.98,Moderate,7,17,1,877,Video,15,Good,Hard,9
95,88,kinesthetic,Complete course,228,0.5,Moderate,36,3,16,910,Quiz,96,Poor,Hard,1
96,13,visual,Gain certification,47,0.43,Moderate,49,15,10,34,Text,51,Average,Intermediate,12
97,94,auditory,Complete course,207,0.26,Fast,42,16,5,970,Quiz,79,Average,Hard,1
98,35,kinesthetic,Gain certification,209,0.92,Slow,49,7,12,2,Video,60,Excellent,Hard,11
99,46,auditory,Complete course,225,0.8,Fast,1,3,14,325,Quiz,18,Good,Hard,10
100,93,kinesthetic,Gain certification,213,0.27,Fast,30,16,19,944,Video,43,Excellent,Easy,9
101,26,kinesthetic,Master topic,217,0.84,Fast,43,3,14,955,Video,51,Average,Hard,15
102,22,visual,Gain certification,140,0.22,Moderate,29,7,3,315,Quiz,76,Poor,Intermediate,7
103,23,visual,Complete course,88,0.32,Moderate,45,7,8,920,Video,92,Good,Easy,7
104,37,visual,Master topic,181,0.49,Slow,14,20,12,330,Quiz,60,Excellent,Easy,12
105,39,kinesthetic,Master topic,287,0.41,Slow,11,16,2,630,Text,60,Poor,Intermediate,16
106,44,visual,Gain certification,151,0.96,Fast,40,8,7,983,Video,91,Excellent,Hard,17
107,57,kinesthetic,Gain certification,57,0.75,Slow,46,4,16,469,Quiz,23,Poor,Easy,18
108,43,kinesthetic,Complete course,250,0.22,Moderate,20,20,11,105,Quiz,10,Excellent,Hard,13
109,79,auditory,Master topic,190,0.28,Moderate,47,16,13,328,Video,89,Good,Easy,6
110,47,visual,Complete course,174,0.42,Fast,36,4,6,976,Video,70,Average,Hard,7
111,83,kinesthetic,Complete course,215,0.45,Moderate,25,12,3,401,Video,25,Good,Intermediate,3
112,1,auditory,Complete course,299,0.77,Slow,48,7,14,744,Quiz,30,Average,Easy,10
113,4,auditory,Complete course,295,0.54,Slow,32,11,19,442,Video,71,Poor,Easy,14
114,55,kinesthetic,Complete course,191,0.74,Fast,5,18,12,188,Text,0,Poor,Intermediate,10
115,89,kinesthetic,Master topic,197,0.62,Moderate,45,12,2,929,Quiz,61,Poor,Hard,20
116,45,kinesthetic,Complete course,147,0.98,Fast,2,1,13,145,Text,49,Excellent,Intermediate,7
117,18,auditory,Complete course,109,0.85,Fast,41,8,17,98,Text,35,Excellent,Intermediate,8
118,28,visual,Master topic,139,0.97,Moderate,28,12,14,888,Video,9,Good,Hard,20
119,31,auditory,Gain certification,169,0.34,Slow,49,18,16,914,Video,86,Good,Easy,1
120,28,visual,Complete course,161,0.96,Fast,16,4,1,637,Quiz,20,Poor,Easy,16
121,65,auditory,Master topic,215,0.54,Fast,18,4,18,394,Video,59,Poor,Easy,8
122,90,auditory,Master topic,60,0.8,Moderate,46,1,4,401,Quiz,55,Excellent,Intermediate,15
123,7,visual,Master topic,244,0.45,Moderate,36,11,14,957,Quiz,40,Poor,Easy,13
124,60,kinesthetic,Complete course,178,0.84,Moderate,18,3,4,976,Video,22,Good,Easy,14
125,15,kinesthetic,Gain certification,111,0.53,Fast,20,19,15,789,Video,75,Good,Hard,7
126,35,visual,Master topic,280,0.91,Fast,41,3,12,654,Video,14,Average,Hard,7
127,57,auditory,Complete course,31,0.99,Fast,40,3,12,321,Video,61,Poor,Hard,3
128,11,auditory,Gain certification,48,0.42,Fast,15,12,5,280,Quiz,56,Average,Easy,18
129,39,kinesthetic,Gain certification,100,0.55,Moderate,35,7,3,694,Text,82,Poor,Intermediate,1
130,54,visual,Gain certification,89,0.76,Moderate,35,13,5,213,Video,86,Average,Intermediate,13
131,26,kinesthetic,Complete course,153,0.64,Slow,21,15,16,883,Quiz,2,Poor,Hard,10
132,64,visual,Master topic,241,0.54,Fast,36,20,9,823,Quiz,95,Excellent,Intermediate,10
133,69,kinesthetic,Complete course,279,0.24,Fast,23,6,8,79,Quiz,58,Average,Easy,18
134,27,auditory,Gain certification,137,0.98,Slow,37,16,1,362,Text,24,Excellent,Easy,14
135,36,auditory,Gain certification,31,0.76,Moderate,5,3,1,225,Quiz,25,Poor,Hard,1
136,96,kinesthetic,Master topic,158,0.56,Fast,13,4,13,15,Text,11,Excellent,Easy,7
137,69,visual,Complete course,157,0.67,Moderate,13,15,13,816,Quiz,43,Good,Hard,13
138,88,visual,Master topic,250,0.32,Fast,16,2,12,4,Quiz,93,Good,Easy,11
139,78,auditory,Master topic,92,0.31,Moderate,12,10,7,771,Video,75,Good,Easy,6
140,33,kinesthetic,Master topic,145,0.3,Moderate,36,7,4,467,Quiz,56,Poor,Easy,5
141,96,visual,Complete course,293,0.75,Moderate,24,7,7,845,Video,64,Average,Intermediate,9
142,42,kinesthetic,Complete course,56,0.59,Fast,32,7,8,304,Video,4,Excellent,Hard,17
143,33,kinesthetic,Master topic,74,0.58,Fast,29,4,16,850,Text,42,Excellent,Easy,13
144,29,auditory,Complete course,223,0.73,Fast,36,15,2,527,Video,22,Excellent,Easy,3
145,3,auditory,Master topic,153,0.84,Slow,15,7,4,384,Quiz,14,Excellent,Intermediate,5
146,13,kinesthetic,Master topic,204,0.97,Fast,44,3,9,724,Text,29,Good,Intermediate,18
147,61,auditory,Gain certification,151,0.94,Slow,24,15,12,64,Video,65,Excellent,Intermediate,10
148,95,kinesthetic,Master topic,299,0.2,Fast,43,8,11,545,Text,84,Excellent,Hard,4
149,0,kinesthetic,Complete course,129,0.88,Fast,8,10,17,897,Text,48,Poor,Hard,10
150,5,visual,Gain certification,67,0.26,Slow,11,16,17,220,Text,68,Good,Hard,9
151,0,kinesthetic,Gain certification,196,0.67,Slow,40,9,12,935,Video,34,Good,Easy,12
152,93,kinesthetic,Gain certification,277,0.96,Fast,31,13,18,730,Text,34,Poor,Easy,4
153,90,auditory,Gain certification,130,0.55,Fast,41,3,4,996,Quiz,64,Average,Easy,8
154,23,kinesthetic,Complete course,107,0.39,Moderate,42,3,16,685,Video,89,Excellent,Easy,11
155,40,kinesthetic,Master topic,93,0.32,Moderate,10,11,18,767,Video,7,Poor,Intermediate,14
156,28,kinesthetic,Gain certification,111,0.36,Moderate,23,9,3,629,Text,68,Excellent,Hard,7
157,88,kinesthetic,Complete course,191,0.56,Fast,17,8,16,629,Quiz,20,Excellent,Easy,15
158,37,kinesthetic,Gain certification,57,0.79,Slow,15,2,11,436,Quiz,78,Excellent,Easy,13
159,46,auditory,Gain certification,287,0.82,Slow,1,15,15,621,Video,21,Good,Easy,19
160,20,kinesthetic,Gain certification,44,0.92,Slow,3,1,10,562,Quiz,2,Poor,Easy,18
161,22,auditory,Complete course,86,0.25,Slow,25,14,5,47,Text,73,Good,Easy,18
162,50,auditory,Master topic,197,0.53,Slow,2,4,17,621,Text,23,Poor,Hard,8
163,60,visual,Gain certification,152,0.98,Slow,26,3,2,81,Text,93,Average,Hard,12
164,49,auditory,Complete course,244,0.85,Fast,2,12,18,512,Quiz,53,Average,Easy,18
165,77,visual,Master topic,270,0.81,Moderate,10,19,17,116,Video,59,Poor,Hard,6
166,91,kinesthetic,Master topic,225,0.85,Fast,28,20,6,407,Quiz,36,Good,Intermediate,14
167,59,auditory,Complete course,164,0.52,Moderate,15,10,3,133,Quiz,57,Average,Hard,7
168,94,kinesthetic,Complete course,279,0.37,Slow,5,19,16,262,Video,53,Average,Hard,2
169,8,kinesthetic,Complete course,285,0.61,Slow,40,20,11,423,Text,63,Good,Hard,17
170,13,auditory,Complete course,160,0.86,Moderate,23,11,2,894,Quiz,63,Average,Intermediate,20
171,96,auditory,Complete course,97,0.47,Slow,28,3,14,154,Text,22,Good,Intermediate,13
172,37,visual,Complete course,276,0.66,Slow,33,1,8,51,Quiz,74,Average,Hard,10
173,23,visual,Complete course,275,0.57,Slow,4,6,4,325,Quiz,63,Average,Intermediate,16
174,32,kinesthetic,Complete course,132,0.85,Moderate,25,11,13,192,Video,49,Excellent,Intermediate,2
175,48,auditory,Complete course,230,0.4,Moderate,7,16,7,673,Text,72,Good,Easy,5
176,85,kinesthetic,Gain certification,234,0.83,Slow,19,18,11,210,Text,51,Excellent,Hard,12
177,12,visual,Complete course,117,0.36,Fast,44,19,4,342,Text,15,Good,Intermediate,9
178,0,visual,Master topic,195,0.83,Moderate,34,16,13,588,Video,34,Poor,Easy,15
179,69,auditory,Complete course,102,0.65,Moderate,17,14,7,865,Video,29,Excellent,Intermediate,6
180,55,auditory,Gain certification,265,0.63,Moderate,35,14,15,333,Text,1,Average,Easy,16
181,48,kinesthetic,Gain certification,113,0.36,Fast,15,4,5,866,Quiz,91,Excellent,Hard,14
182,98,kinesthetic,Master topic,239,0.76,Fast,7,18,14,816,Text,88,Good,Hard,16
183,94,visual,Complete course,118,0.86,Fast,28,9,18,860,Text,12,Good,Easy,17
184,29,auditory,Master topic,85,0.61,Moderate,45,2,15,281,Quiz,83,Good,Easy,5
185,85,visual,Gain certification,79,0.53,Fast,39,19,16,51,Text,86,Excellent,Intermediate,17
186,82,visual,Master topic,181,0.67,Moderate,15,20,8,434,Quiz,29,Good,Intermediate,6
187,89,visual,Gain certification,62,0.23,Moderate,14,9,13,791,Video,49,Poor,Intermediate,20
188,39,visual,Gain certification,273,0.96,Fast,8,18,11,227,Video,4,Excellent,Easy,9
189,70,kinesthetic,Gain certification,204,0.98,Slow,21,11,3,238,Quiz,11,Poor,Intermediate,19
190,34,kinesthetic,Gain certification,220,0.31,Fast,14,1,6,829,Quiz,72,Good,Intermediate,19
191,80,auditory,Gain certification,161,0.92,Fast,14,13,2,577,Text,33,Good,Intermediate,10
192,28,visual,Master topic,143,0.84,Fast,29,2,17,880,Quiz,51,Excellent,Hard,1
193,73,visual,Gain certification,209,0.35,Slow,8,13,15,966,Video,8,Poor,Hard,17
194,99,visual,Gain certification,40,0.7,Fast,31,7,13,418,Quiz,27,Average,Easy,15
195,99,visual,Master topic,200,0.47,Fast,26,20,14,698,Text,25,Average,Easy,16
196,76,auditory,Gain certification,201,0.96,Moderate,10,6,8,616,Text,88,Excellent,Hard,9
197,14,visual,Complete course,54,0.52,Moderate,18,14,9,977,Video,55,Poor,Easy,19
198,39,visual,Gain certification,218,0.85,Moderate,47,3,16,441,Video,94,Poor,Intermediate,20
199,39,auditory,Master topic,59,0.9,Slow,18,16,19,885,Video,43,Poor,Hard,6
200,67,auditory,Gain certification,211,0.67,Fast,47,11,16,94,Quiz,42,Average,Hard,1
201,36,kinesthetic,Complete course,110,0.57,Slow,36,12,19,324,Quiz,44,Excellent,Intermediate,18
202,21,kinesthetic,Complete course,67,0.35,Slow,4,18,14,26,Text,68,Poor,Hard,5
203,39,visual,Master topic,43,0.23,Moderate,21,16,13,581,Quiz,45,Poor,Easy,14
204,54,visual,Master topic,143,0.71,Moderate,31,6,15,73,Video,93,Poor,Intermediate,8
205,64,visual,Complete course,252,0.86,Moderate,41,7,4,129,Text,14,Excellent,Intermediate,9
206,17,visual,Complete course,85,0.69,Moderate,46,11,7,870,Text,6,Average,Hard,6
207,28,visual,Master topic,253,0.27,Fast,40,18,12,195,Quiz,88,Good,Hard,4
208,0,auditory,Gain certification,53,0.67,Slow,29,7,15,277,Video,5,Average,Hard,20
209,55,auditory,Complete course,199,0.35,Fast,44,12,3,569,Quiz,64,Excellent,Easy,9
210,7,visual,Complete course,233,0.58,Fast,14,19,6,240,Text,44,Excellent,Easy,10
211,61,auditory,Master topic,128,0.9,Moderate,7,12,9,715,Video,13,Average,Easy,11
212,13,auditory,Complete course,66,0.56,Slow,9,5,1,860,Text,10,Average,Hard,20
213,32,auditory,Master topic,66,0.31,Slow,35,13,5,258,Text,8,Average,Intermediate,5
214,77,auditory,Master topic,83,0.91,Fast,17,10,12,439,Video,60,Poor,Intermediate,1
215,27,kinesthetic,Master topic,201,0.8,Slow,30,8,11,504,Text,75,Poor,Hard,15
216,82,auditory,Master topic,238,0.97,Moderate,37,17,6,809,Video,65,Average,Hard,18
217,46,auditory,Gain certification,274,0.45,Moderate,44,2,12,69,Video,77,Average,Easy,13
218,56,auditory,Complete course,153,0.31,Fast,24,4,17,411,Text,12,Excellent,Easy,19
219,15,kinesthetic,Master topic,84,0.27,Slow,5,20,12,835,Text,0,Good,Easy,18
220,42,kinesthetic,Master topic,73,0.58,Slow,12,11,18,303,Video,82,Good,Hard,9
221,62,kinesthetic,Gain certification,170,0.5,Slow,48,7,3,611,Quiz,61,Average,Easy,10
222,24,kinesthetic,Complete course,182,0.78,Fast,21,16,17,528,Video,74,Excellent,Intermediate,8
223,45,kinesthetic,Complete course,109,0.9,Slow,45,9,1,132,Quiz,37,Good,Easy,3
224,1,kinesthetic,Master topic,64,0.7,Fast,19,11,4,961,Video,64,Good,Intermediate,9
225,81,kinesthetic,Gain certification,210,0.78,Fast,49,6,12,730,Text,85,Poor,Hard,17
226,75,visual,Gain certification,64,0.4,Fast,24,1,13,260,Quiz,32,Average,Easy,20
227,38,auditory,Master topic,118,0.75,Moderate,15,13,1,16,Text,12,Excellent,Easy,13
228,7,auditory,Gain certification,247,0.83,Moderate,44,1,13,536,Video,31,Good,Intermediate,7
229,99,visual,Gain certification,222,0.46,Slow,44,20,10,323,Text,4,Average,Hard,10
230,44,kinesthetic,Master topic,272,0.31,Slow,6,11,17,611,Quiz,18,Excellent,Hard,13
231,33,visual,Gain certification,73,0.45,Slow,41,14,14,260,Video,14,Poor,Intermediate,9
232,94,kinesthetic,Complete course,125,0.44,Moderate,15,16,5,154,Video,93,Excellent,Intermediate,7
233,85,auditory,Gain certification,200,0.59,Slow,3,7,12,492,Text,95,Average,Intermediate,3
234,58,kinesthetic,Master topic,293,0.65,Moderate,16,14,11,749,Quiz,39,Average,Easy,6
235,77,kinesthetic,Complete course,214,0.32,Fast,7,18,16,966,Quiz,73,Poor,Easy,1
236,43,kinesthetic,Gain certification,128,0.65,Fast,29,1,12,297,Quiz,34,Average,Intermediate,7
237,76,kinesthetic,Gain certification,104,0.36,Moderate,22,20,15,389,Quiz,37,Poor,Intermediate,20
238,43,visual,Gain certification,182,0.51,Moderate,47,9,6,414,Video,77,Average,Easy,1
239,29,visual,Master topic,95,0.73,Moderate,1,5,3,298,Text,81,Good,Hard,17
240,18,kinesthetic,Complete course,93,0.63,Fast,10,20,5,51,Text,85,Average,Easy,6
241,6,kinesthetic,Complete course,107,0.25,Moderate,15,20,16,911,Video,1,Good,Hard,16
242,72,visual,Gain certification,275,0.57,Fast,35,14,1,678,Text,26,Excellent,Intermediate,17
243,71,kinesthetic,Complete course,274,0.35,Moderate,35,16,1,907,Text,90,Good,Intermediate,12
244,57,auditory,Complete course,148,0.27,Fast,31,7,6,506,Quiz,68,Good,Intermediate,12
245,37,visual,Gain certification,77,0.91,Slow,39,17,8,554,Video,56,Poor,Intermediate,13
246,47,visual,Master topic,239,0.66,Fast,11,12,12,934,Text,24,Good,Hard,6
247,52,visual,Gain certification,212,0.42,Slow,2,8,19,65,Video,87,Poor,Intermediate,3
248,57,auditory,Master topic,191,0.8,Moderate,18,15,2,900,Quiz,20,Poor,Hard,17
249,9,auditory,Complete course,85,0.65,Slow,29,12,1,835,Video,28,Good,Intermediate,5
250,27,auditory,Complete course,289,0.85,Fast,30,17,11,763,Video,86,Average,Easy,20
251,43,kinesthetic,Master topic,123,0.53,Fast,14,10,3,486,Quiz,90,Poor,Intermediate,4
252,42,visual,Complete course,288,0.6,Slow,8,19,2,39,Quiz,81,Average,Intermediate,5
253,0,kinesthetic,Master topic,53,0.7,Fast,37,8,18,483,Video,15,Good,Intermediate,17
254,18,kinesthetic,Master topic,131,0.76,Fast,24,15,3,151,Text,24,Average,Hard,12
255,33,kinesthetic,Gain certification,188,0.27,Slow,19,2,13,576,Quiz,63,Excellent,Hard,17
256,20,visual,Gain certification,185,0.81,Moderate,48,13,1,931,Video,48,Good,Intermediate,16
257,71,auditory,Complete course,107,0.92,Moderate,8,6,18,9,Text,57,Poor,Hard,14
258,79,auditory,Master topic,192,0.3,Moderate,44,2,1,62,Quiz,29,Excellent,Easy,3
259,51,kinesthetic,Complete course,198,0.27,Slow,31,18,7,809,Text,15,Average,Intermediate,1
260,62,visual,Master topic,68,0.61,Fast,21,15,19,338,Text,81,Excellent,Hard,14
261,22,auditory,Complete course,263,0.76,Moderate,5,15,13,106,Text,81,Poor,Hard,11
262,63,auditory,Gain certification,293,0.59,Slow,40,16,19,398,Quiz,86,Excellent,Hard,13
263,14,visual,Gain certification,131,0.3,Fast,46,7,5,475,Text,43,Average,Hard,20
264,66,kinesthetic,Master topic,209,0.56,Fast,19,5,16,230,Quiz,83,Average,Easy,9
265,6,visual,Complete course,271,0.61,Moderate,38,20,16,449,Quiz,5,Good,Intermediate,15
266,31,visual,Master topic,33,0.45,Fast,10,10,15,520,Text,84,Good,Easy,6
267,77,kinesthetic,Master topic,261,0.86,Fast,39,11,13,257,Quiz,6,Excellent,Hard,7
268,67,auditory,Gain certification,49,0.8,Moderate,8,13,18,508,Text,56,Poor,Hard,3
269,36,kinesthetic,Gain certification,150,0.59,Moderate,38,19,1,707,Video,25,Good,Easy,1
270,28,kinesthetic,Gain certification,113,0.64,Slow,10,11,17,65,Text,43,Good,Hard,5
271,37,visual,Complete course,208,0.47,Fast,32,13,8,1,Video,40,Good,Hard,16
272,63,auditory,Complete course,64,0.89,Fast,15,14,2,13,Quiz,76,Average,Easy,10
273,9,visual,Complete course,231,0.39,Slow,7,14,19,795,Quiz,76,Excellent,Hard,9
274,91,kinesthetic,Master topic,212,0.45,Fast,26,6,12,60,Video,62,Poor,Intermediate,5
275,57,kinesthetic,Complete course,206,0.64,Slow,41,7,2,18,Quiz,53,Poor,Hard,5
276,67,auditory,Gain certification,246,0.7,Slow,30,20,9,496,Quiz,17,Good,Intermediate,4
277,44,visual,Gain certification,226,0.99,Fast,45,12,8,960,Text,44,Good,Hard,8
278,40,auditory,Gain certification,273,0.84,Slow,48,11,19,735,Quiz,97,Excellent,Intermediate,20
279,41,visual,Complete course,178,0.99,Slow,35,1,15,447,Quiz,44,Average,Intermediate,8
280,65,auditory,Gain certification,138,0.93,Fast,5,3,14,165,Video,34,Excellent,Intermediate,7
281,55,visual,Complete course,166,0.38,Moderate,1,3,6,775,Quiz,59,Poor,Easy,2
282,32,kinesthetic,Master topic,197,0.95,Fast,21,10,3,223,Video,48,Good,Hard,1
283,98,visual,Gain certification,91,0.75,Slow,12,16,2,542,Video,53,Poor,Hard,16
284,38,kinesthetic,Master topic,292,0.71,Moderate,28,20,11,86,Video,5,Average,Hard,7
