learner_id,previous_performance,learning_style,learning_goal,engagement_time,completion_rate,preferred_pacing,content_interaction,prev_course
99,46,auditory,Complete course,225,0.8,Fast,1,3
100,93,kinesthetic,Gain certification,213,0.27,Fast,30,16
101,26,kinesthetic,Master topic,217,0.84,Fast,43,3
102,22,visual,Gain certification,140,0.22,Moderate,29,7
103,23,visual,Complete course,88,0.32,Moderate,45,7
104,37,visual,Master topic,181,0.49,Slow,14,20
105,39,kinesthetic,Master topic,287,0.41,Slow,11,16
106,44,visual,Gain certification,151,0.96,Fast,40,8
107,57,kinesthetic,Gain certification,57,0.75,Slow,46,4
108,43,kinesthetic,Complete course,250,0.22,Moderate,20,20
109,79,auditory,Master topic,190,0.28,Moderate,47,16
110,47,visual,Complete course,174,0.42,Fast,36,4
111,83,kinesthetic,Complete course,215,0.45,Moderate,25,12
112,1,auditory,Complete course,299,0.77,Slow,48,7
113,4,auditory,Complete course,295,0.54,Slow,32,11
114,55,kinesthetic,Complete course,191,0.74,Fast,5,18
115,89,kinesthetic,Master topic,197,0.62,Moderate,45,12
116,45,kinesthetic,Complete course,147,0.98,Fast,2,1
117,18,auditory,Complete course,109,0.85,Fast,41,8
118,28,visual,Master topic,139,0.97,Moderate,28,12
119,31,auditory,Gain certification,169,0.34,Slow,49,18
120,28,visual,Complete course,161,0.96,Fast,16,4
121,65,auditory,Master topic,215,0.54,Fast,18,4
122,90,auditory,Master topic,60,0.8,Moderate,46,1
123,7,visual,Master topic,244,0.45,Moderate,36,11
124,60,kinesthetic,Complete course,178,0.84,Moderate,18,3
125,15,kinesthetic,Gain certification,111,0.53,Fast,20,19
126,35,visual,Master topic,280,0.91,Fast,41,3
127,57,auditory,Complete course,31,0.99,Fast,40,3
128,11,auditory,Gain certification,48,0.42,Fast,15,12
129,39,kinesthetic,Gain certification,100,0.55,Moderate,35,7
130,54,visual,Gain certification,89,0.76,Moderate,35,13
131,26,kinesthetic,Complete course,153,0.64,Slow,21,15
132,64,visual,Master topic,241,0.54,Fast,36,20
133,69,kinesthetic,Complete course,279,0.24,Fast,23,6
134,27,auditory,Gain certification,137,0.98,Slow,37,16
135,36,auditory,Gain certification,31,0.76,Moderate,5,3
136,96,kinesthetic,Master topic,158,0.56,Fast,13,4
137,69,visual,Complete course,157,0.67,Moderate,13,15
138,88,visual,Master topic,250,0.32,Fast,16,2
139,78,auditory,Master topic,92,0.31,Moderate,12,10
140,33,kinesthetic,Master topic,145,0.3,Moderate,36,7
141,96,visual,Complete course,293,0.75,Moderate,24,7
142,42,kinesthetic,Complete course,56,0.59,Fast,32,7
143,33,kinesthetic,Master topic,74,0.58,Fast,29,4
144,29,auditory,Complete course,223,0.73,Fast,36,15
145,3,auditory,Master topic,153,0.84,Slow,15,7
146,13,kinesthetic,Master topic,204,0.97,Fast,44,3
147,61,auditory,Gain certification,151,0.94,Slow,24,15
148,95,kinesthetic,Master topic,299,0.2,Fast,43,8
149,0,kinesthetic,Complete course,129,0.88,Fast,8,10
150,5,visual,Gain certification,67,0.26,Slow,11,16
151,0,kinesthetic,Gain certification,196,0.67,Slow,40,9
152,93,kinesthetic,Gain certification,277,0.96,Fast,31,13
153,90,auditory,Gain certification,130,0.55,Fast,41,3
154,23,kinesthetic,Complete course,107,0.39,Moderate,42,3
155,40,kinesthetic,Master topic,93,0.32,Moderate,10,11
156,28,kinesthetic,Gain certification,111,0.36,Moderate,23,9
157,88,kinesthetic,Complete course,191,0.56,Fast,17,8
158,37,kinesthetic,Gain certification,57,0.79,Slow,15,2
159,46,auditory,Gain certification,287,0.82,Slow,1,15
160,20,kinesthetic,Gain certification,44,0.92,Slow,3,1
161,22,auditory,Complete course,86,0.25,Slow,25,14
162,50,auditory,Master topic,197,0.53,Slow,2,4
163,60,visual,Gain certification,152,0.98,Slow,26,3
164,49,auditory,Complete course,244,0.85,Fast,2,12
165,77,visual,Master topic,270,0.81,Moderate,10,19
166,91,kinesthetic,Master topic,225,0.85,Fast,28,20
167,59,auditory,Complete course,164,0.52,Moderate,15,10
168,94,kinesthetic,Complete course,279,0.37,Slow,5,19
169,8,kinesthetic,Complete course,285,0.61,Slow,40,20
170,13,auditory,Complete course,160,0.86,Moderate,23,11
171,96,auditory,Complete course,97,0.47,Slow,28,3
172,37,visual,Complete course,276,0.66,Slow,33,1
173,23,visual,Complete course,275,0.57,Slow,4,6
174,32,kinesthetic,Complete course,132,0.85,Moderate,25,11
175,48,auditory,Complete course,230,0.4,Moderate,7,16
176,85,kinesthetic,Gain certification,234,0.83,Slow,19,18
177,12,visual,Complete course,117,0.36,Fast,44,19
178,0,visual,Master topic,195,0.83,Moderate,34,16
179,69,auditory,Complete course,102,0.65,Moderate,17,14
180,55,auditory,Gain certification,265,0.63,Moderate,35,14
181,48,kinesthetic,Gain certification,113,0.36,Fast,15,4
182,98,kinesthetic,Master topic,239,0.76,Fast,7,18
183,94,visual,Complete course,118,0.86,Fast,28,9
184,29,auditory,Master topic,85,0.61,Moderate,45,2
185,85,visual,Gain certification,79,0.53,Fast,39,19
186,82,visual,Master topic,181,0.67,Moderate,15,20
187,89,visual,Gain certification,62,0.23,Moderate,14,9
188,39,visual,Gain certification,273,0.96,Fast,8,18
189,70,kinesthetic,Gain certification,204,0.98,Slow,21,11
190,34,kinesthetic,Gain certification,220,0.31,Fast,14,1
191,80,auditory,Gain certification,161,0.92,Fast,14,13
192,28,visual,Master topic,143,0.84,Fast,29,2
193,73,visual,Gain certification,209,0.35,Slow,8,13
194,99,visual,Gain certification,40,0.7,Fast,31,7
195,99,visual,Master topic,200,0.47,Fast,26,20
196,76,auditory,Gain certification,201,0.96,Moderate,10,6
197,14,visual,Complete course,54,0.52,Moderate,18,14
198,39,visual,Gain certification,218,0.85,Moderate,47,3
199,39,auditory,Master topic,59,0.9,Slow,18,16
200,67,auditory,Gain certification,211,0.67,Fast,47,11
201,36,kinesthetic,Complete course,110,0.57,Slow,36,12
202,21,kinesthetic,Complete course,67,0.35,Slow,4,18
203,39,visual,Master topic,43,0.23,Moderate,21,16
204,54,visual,Master topic,143,0.71,Moderate,31,6
205,64,visual,Complete course,252,0.86,Moderate,41,7
206,17,visual,Complete course,85,0.69,Moderate,46,11
207,28,visual,Master topic,253,0.27,Fast,40,18
208,0,auditory,Gain certification,53,0.67,Slow,29,7
209,55,auditory,Complete course,199,0.35,Fast,44,12
210,7,visual,Complete course,233,0.58,Fast,14,19
211,61,auditory,Master topic,128,0.9,Moderate,7,12
212,13,auditory,Complete course,66,0.56,Slow,9,5
213,32,auditory,Master topic,66,0.31,Slow,35,13
214,77,auditory,Master topic,83,0.91,Fast,17,10
215,27,kinesthetic,Master topic,201,0.8,Slow,30,8
216,82,auditory,Master topic,238,0.97,Moderate,37,17
217,46,auditory,Gain certification,274,0.45,Moderate,44,2
218,56,auditory,Complete course,153,0.31,Fast,24,4
219,15,kinesthetic,Master topic,84,0.27,Slow,5,20
220,42,kinesthetic,Master topic,73,0.58,Slow,12,11
221,62,kinesthetic,Gain certification,170,0.5,Slow,48,7
222,24,kinesthetic,Complete course,182,0.78,Fast,21,16
223,45,kinesthetic,Complete course,109,0.9,Slow,45,9
224,1,kinesthetic,Master topic,64,0.7,Fast,19,11
225,81,kinesthetic,Gain certification,210,0.78,Fast,49,6
226,75,visual,Gain certification,64,0.4,Fast,24,1
227,38,auditory,Master topic,118,0.75,Moderate,15,13
228,7,auditory,Gain certification,247,0.83,Moderate,44,1
229,99,visual,Gain certification,222,0.46,Slow,44,20
230,44,kinesthetic,Master topic,272,0.31,Slow,6,11
231,33,visual,Gain certification,73,0.45,Slow,41,14
232,94,kinesthetic,Complete course,125,0.44,Moderate,15,16
233,85,auditory,Gain certification,200,0.59,Slow,3,7
234,58,kinesthetic,Master topic,293,0.65,Moderate,16,14
235,77,kinesthetic,Complete course,214,0.32,Fast,7,18
236,43,kinesthetic,Gain certification,128,0.65,Fast,29,1
237,76,kinesthetic,Gain certification,104,0.36,Moderate,22,20
238,43,visual,Gain certification,182,0.51,Moderate,47,9
239,29,visual,Master topic,95,0.73,Moderate,1,5
240,18,kinesthetic,Complete course,93,0.63,Fast,10,20
241,6,kinesthetic,Complete course,107,0.25,Moderate,15,20
242,72,visual,Gain certification,275,0.57,Fast,35,14
243,71,kinesthetic,Complete course,274,0.35,Moderate,35,16
244,57,auditory,Complete course,148,0.27,Fast,31,7
245,37,visual,Gain certification,77,0.91,Slow,39,17
246,47,visual,Master topic,239,0.66,Fast,11,12
247,52,visual,Gain certification,212,0.42,Slow,2,8
248,57,auditory,Master topic,191,0.8,Moderate,18,15
249,9,auditory,Complete course,85,0.65,Slow,29,12
250,27,auditory,Complete course,289,0.85,Fast,30,17
251,43,kinesthetic,Master topic,123,0.53,Fast,14,10
252,42,visual,Complete course,288,0.6,Slow,8,19
253,0,kinesthetic,Master topic,53,0.7,Fast,37,8
254,18,kinesthetic,Master topic,131,0.76,Fast,24,15
255,33,kinesthetic,Gain certification,188,0.27,Slow,19,2
256,20,visual,Gain certification,185,0.81,Moderate,48,13
257,71,auditory,Complete course,107,0.92,Moderate,8,6
258,79,auditory,Master topic,192,0.3,Moderate,44,2
259,51,kinesthetic,Complete course,198,0.27,Slow,31,18
260,62,visual,Master topic,68,0.61,Fast,21,15
261,22,auditory,Complete course,263,0.76,Moderate,5,15
262,63,auditory,Gain certification,293,0.59,Slow,40,16
263,14,visual,Gain certification,131,0.3,Fast,46,7
264,66,kinesthetic,Master topic,209,0.56,Fast,19,5
265,6,visual,Complete course,271,0.61,Moderate,38,20
266,31,visual,Master topic,33,0.45,Fast,10,10
267,77,kinesthetic,Master topic,261,0.86,Fast,39,11
268,67,auditory,Gain certification,49,0.8,Moderate,8,13
269,36,kinesthetic,Gain certification,150,0.59,Moderate,38,19
270,28,kinesthetic,Gain certification,113,0.64,Slow,10,11
271,37,visual,Complete course,208,0.47,Fast,32,13
272,63,auditory,Complete course,64,0.89,Fast,15,14
273,9,visual,Complete course,231,0.39,Slow,7,14
274,91,kinesthetic,Master topic,212,0.45,Fast,26,6
275,57,kinesthetic,Complete course,206,0.64,Slow,41,7
276,67,auditory,Gain certification,246,0.7,Slow,30,20
277,44,visual,Gain certification,226,0.99,Fast,45,12
278,40,auditory,Gain certification,273,0.84,Slow,48,11
279,41,visual,Complete course,178,0.99,Slow,35,1
280,65,auditory,Gain certification,138,0.93,Fast,5,3
281,55,visual,Complete course,166,0.38,Moderate,1,3
282,32,kinesthetic,Master topic,197,0.95,Fast,21,10
283,98,visual,Gain certification,91,0.75,Slow,12,16
284,38,kinesthetic,Master topic,292,0.71,Moderate,28,20
285,35,kinesthetic,Master topic,87,0.93,Fast,40,16
286,11,visual,Master topic,212,0.56,Moderate,22,13
287,58,visual,Master topic,290,0.25,Slow,11,12
288,21,visual,Master topic,184,0.59,Slow,22,8
289,25,auditory,Master topic,161,0.69,Slow,30,4
290,68,auditory,Gain certification,48,0.85,Slow,9,13
291,13,kinesthetic,Gain certification,48,0.57,Slow,38,6
292,52,kinesthetic,Gain certification,128,0.23,Fast,31,15
293,66,visual,Master topic,49,0.82,Moderate,35,7
294,96,kinesthetic,Master topic,65,0.93,Fast,9,15
295,34,kinesthetic,Gain certification,245,0.44,Fast,25,20
296,97,visual,Master topic,204,0.56,Moderate,30,14
297,85,visual,Master topic,149,0.75,Slow,1,17
298,41,visual,Gain certification,258,0.63,Moderate,43,5
299,75,kinesthetic,Gain certification,297,0.93,Slow,1,6
300,98,visual,Complete course,41,0.43,Moderate,43,19
301,64,kinesthetic,Gain certification,31,0.21,Moderate,24,17
302,21,kinesthetic,Master topic,116,0.2,Moderate,41,5
303,0,auditory,Gain certification,86,0.62,Moderate,40,4
304,35,visual,Master topic,113,0.82,Slow,46,8
305,23,visual,Gain certification,33,0.65,Fast,7,20
306,98,visual,Master topic,225,0.6,Moderate,7,5
307,10,kinesthetic,Complete course,169,0.82,Fast,41,4
308,72,kinesthetic,Gain certification,110,0.79,Moderate,8,12
309,9,auditory,Gain certification,190,0.39,Moderate,1,6
310,0,visual,Gain certification,42,0.55,Fast,14,2
311,62,auditory,Master topic,143,0.35,Moderate,45,5
312,57,auditory,Gain certification,157,0.9,Fast,24,19
313,43,kinesthetic,Complete course,207,0.44,Moderate,9,2
314,80,auditory,Master topic,199,0.61,Slow,47,17
315,86,kinesthetic,Complete course,133,0.99,Fast,35,20
316,74,visual,Gain certification,70,0.23,Fast,15,17
317,66,auditory,Gain certification,143,0.57,Fast,45,19
318,2,auditory,Complete course,148,0.51,Slow,22,6
319,83,auditory,Master topic,55,0.32,Fast,6,14
320,56,visual,Complete course,238,0.51,Moderate,9,18
321,10,visual,Complete course,158,0.88,Slow,4,19
322,90,auditory,Gain certification,89,0.22,Slow,34,16
323,76,kinesthetic,Master topic,258,0.52,Fast,30,20
324,45,kinesthetic,Master topic,165,0.49,Moderate,35,7
325,64,visual,Gain certification,90,0.42,Moderate,31,16
326,11,auditory,Master topic,297,0.79,Slow,1,5
327,68,kinesthetic,Gain certification,72,0.26,Slow,38,20
328,93,auditory,Complete course,119,0.87,Slow,14,15
329,57,visual,Master topic,127,0.55,Slow,24,5
330,5,visual,Gain certification,199,0.94,Fast,2,12
331,98,visual,Complete course,181,0.91,Slow,16,7
332,34,kinesthetic,Master topic,105,0.32,Moderate,47,13
333,11,auditory,Gain certification,99,0.43,Fast,29,8
334,48,kinesthetic,Master topic,219,0.67,Fast,44,9
335,40,auditory,Master topic,186,0.53,Fast,43,18
336,57,visual,Gain certification,64,0.61,Moderate,24,16
337,95,kinesthetic,Complete course,202,0.92,Moderate,8,10
338,90,auditory,Gain certification,30,0.25,Fast,25,18
339,49,auditory,Complete course,126,0.75,Fast,43,5
340,33,kinesthetic,Gain certification,179,0.66,Slow,46,17
341,12,visual,Gain certification,59,0.71,Fast,30,2
342,94,kinesthetic,Master topic,109,0.86,Moderate,27,17
343,29,kinesthetic,Complete course,159,0.9,Moderate,11,11
344,74,visual,Master topic,201,0.89,Slow,49,6
345,83,kinesthetic,Gain certification,153,0.94,Slow,8,6
346,39,auditory,Complete course,162,0.85,Fast,23,19
347,73,kinesthetic,Complete course,233,0.37,Fast,30,9
348,54,auditory,Master topic,140,0.43,Slow,13,7
349,70,kinesthetic,Complete course,206,0.83,Fast,29,13
350,84,visual,Complete course,232,0.75,Fast,37,3
351,14,kinesthetic,Master topic,131,0.42,Slow,6,18
352,51,visual,Complete course,287,0.99,Slow,31,12
353,36,visual,Complete course,168,0.46,Moderate,3,14
354,3,visual,Complete course,116,0.78,Slow,11,5
355,87,kinesthetic,Gain certification,219,0.41,Slow,32,17
356,18,kinesthetic,Complete course,154,0.91,Moderate,4,18
357,20,auditory,Complete course,141,0.7,Fast,23,6
358,8,kinesthetic,Gain certification,35,0.22,Slow,42,13
359,53,kinesthetic,Gain certification,136,0.48,Slow,33,14
360,66,kinesthetic,Master topic,158,0.87,Slow,12,11
361,71,kinesthetic,Master topic,263,0.5,Moderate,14,4
362,15,visual,Gain certification,101,0.53,Fast,12,8
363,61,kinesthetic,Gain certification,295,0.49,Slow,28,2
364,43,visual,Gain certification,186,0.63,Slow,45,2
365,88,kinesthetic,Gain certification,190,0.78,Slow,9,18
366,59,auditory,Master topic,227,0.82,Moderate,11,3
367,8,auditory,Master topic,118,0.42,Fast,14,6
368,55,auditory,Master topic,133,0.51,Slow,27,5
369,48,visual,Complete course,124,0.6,Fast,28,9
370,24,kinesthetic,Master topic,39,0.39,Slow,45,18
371,24,auditory,Gain certification,59,0.69,Fast,10,18
372,37,visual,Gain certification,80,0.22,Slow,23,8
373,72,visual,Gain certification,36,0.42,Moderate,16,4
374,86,auditory,Master topic,65,0.46,Slow,33,4
375,72,visual,Complete course,112,0.8,Moderate,26,9
376,6,visual,Complete course,111,0.5,Moderate,18,19
377,81,auditory,Complete course,190,0.71,Slow,14,1
378,35,auditory,Gain certification,213,0.56,Moderate,21,14
379,8,visual,Master topic,120,0.99,Slow,43,11
380,18,kinesthetic,Complete course,75,0.97,Slow,36,17
381,48,kinesthetic,Complete course,116,0.52,Moderate,33,19
382,89,auditory,Complete course,84,0.69,Slow,3,6
383,62,visual,Gain certification,45,0.53,Fast,24,11
384,34,auditory,Master topic,248,1.0,Slow,7,20
385,78,auditory,Complete course,269,0.84,Moderate,41,20
386,96,kinesthetic,Gain certification,243,0.81,Slow,42,19
387,10,auditory,Gain certification,90,0.72,Slow,47,14
388,50,auditory,Complete course,91,0.93,Moderate,21,4
389,83,auditory,Master topic,271,0.51,Fast,38,2
390,81,visual,Master topic,272,0.25,Moderate,7,18
391,15,auditory,Complete course,54,0.7,Fast,28,5
392,60,visual,Gain certification,179,0.41,Fast,25,14
393,26,auditory,Master topic,297,0.55,Fast,37,3
394,41,auditory,Master topic,69,0.29,Fast,28,10
395,9,visual,Complete course,92,0.42,Moderate,13,10
396,45,auditory,Master topic,50,0.27,Moderate,7,8
397,49,visual,Master topic,74,0.3,Fast,15,3
398,92,kinesthetic,Complete course,79,0.52,Slow,22,15
399,36,visual,Complete course,124,0.73,Slow,34,2
400,12,visual,Complete course,229,0.86,Slow,25,17
401,60,kinesthetic,Complete course,217,0.92,Fast,10,15
402,27,visual,Master topic,209,0.66,Slow,25,6
403,58,visual,Master topic,145,0.67,Slow,1,6
404,94,auditory,Gain certification,260,0.45,Fast,27,13
405,21,auditory,Master topic,287,0.96,Fast,6,5
406,11,auditory,Complete course,276,0.86,Moderate,40,17
407,98,auditory,Complete course,182,0.46,Fast,47,19
408,59,visual,Gain certification,56,0.5,Fast,23,20
409,18,auditory,Complete course,40,0.4,Moderate,18,10
410,67,visual,Master topic,196,0.25,Moderate,36,5
411,42,kinesthetic,Master topic,287,0.88,Fast,44,16
412,51,kinesthetic,Complete course,179,0.39,Slow,14,5
413,12,visual,Gain certification,203,0.3,Moderate,25,6
414,14,auditory,Master topic,229,0.81,Moderate,6,6
415,90,kinesthetic,Master topic,235,0.37,Slow,10,16
416,52,kinesthetic,Master topic,40,0.81,Slow,11,13
417,66,visual,Master topic,232,0.47,Fast,38,7
418,1,kinesthetic,Gain certification,66,0.76,Moderate,21,4
419,12,visual,Master topic,250,0.65,Moderate,23,18
420,78,kinesthetic,Complete course,210,0.9,Slow,44,8
421,91,kinesthetic,Complete course,194,0.35,Moderate,44,11
422,1,visual,Complete course,96,0.26,Fast,3,20
423,34,visual,Complete course,272,0.56,Slow,32,9
424,35,kinesthetic,Master topic,214,0.83,Fast,4,16
425,61,auditory,Master topic,295,0.82,Slow,47,14
426,40,auditory,Gain certification,147,0.45,Fast,1,11
427,50,auditory,Complete course,152,0.49,Slow,10,1
428,15,auditory,Gain certification,52,0.44,Moderate,5,5
429,28,visual,Complete course,147,0.83,Slow,18,18
430,46,visual,Gain certification,65,0.23,Fast,16,19
431,75,visual,Gain certification,172,0.61,Fast,27,14
432,21,kinesthetic,Gain certification,226,0.43,Moderate,43,16
433,55,auditory,Master topic,296,0.74,Slow,4,19
434,90,auditory,Gain certification,143,0.51,Fast,22,11
435,60,visual,Master topic,102,0.78,Fast,42,1
436,21,auditory,Gain certification,92,0.96,Moderate,27,2
437,76,visual,Master topic,161,0.54,Slow,24,20
438,58,visual,Complete course,193,0.85,Moderate,13,13
439,19,auditory,Gain certification,140,0.73,Moderate,15,3
440,28,visual,Complete course,38,0.37,Fast,16,17
441,89,auditory,Complete course,171,0.72,Moderate,49,18
442,6,kinesthetic,Gain certification,86,0.95,Fast,3,11
443,54,visual,Complete course,165,0.5,Fast,39,14
444,52,kinesthetic,Gain certification,247,0.47,Fast,2,8
445,14,auditory,Master topic,80,0.89,Slow,10,16
446,69,kinesthetic,Master topic,31,0.86,Fast,44,5
447,15,kinesthetic,Gain certification,202,0.76,Slow,10,20
448,43,kinesthetic,Complete course,276,0.26,Slow,26,18
449,47,kinesthetic,Master topic,107,0.38,Fast,25,5
450,54,kinesthetic,Master topic,116,0.25,Slow,27,15
451,42,auditory,Master topic,225,0.91,Fast,21,8
452,38,visual,Gain certification,266,0.26,Fast,47,4
453,70,kinesthetic,Gain certification,221,0.91,Fast,1,13
454,19,auditory,Complete course,66,0.96,Moderate,5,17
455,1,auditory,Master topic,151,0.52,Fast,8,1
456,18,visual,Gain certification,124,0.52,Fast,25,19
457,28,auditory,Complete course,184,0.57,Moderate,21,1
458,76,kinesthetic,Master topic,95,0.27,Slow,40,17
459,38,kinesthetic,Complete course,291,0.53,Fast,29,6
460,42,auditory,Complete course,184,0.98,Slow,4,2
461,68,kinesthetic,Complete course,42,0.26,Moderate,8,5
462,94,kinesthetic,Complete course,85,0.32,Fast,43,6
463,9,kinesthetic,Master topic,240,0.64,Moderate,17,5
464,3,auditory,Complete course,276,0.21,Fast,49,18
465,1,auditory,Complete course,181,0.89,Moderate,37,15
466,27,visual,Master topic,154,0.5,Fast,33,16
467,25,visual,Complete course,180,0.63,Moderate,34,3
468,20,auditory,Gain certification,221,0.87,Fast,25,18
469,89,auditory,Master topic,291,0.46,Moderate,36,2
470,56,kinesthetic,Gain certification,136,1.0,Slow,28,5
471,12,kinesthetic,Master topic,39,0.68,Slow,45,8
472,23,kinesthetic,Gain certification,209,0.51,Slow,46,3
473,31,visual,Complete course,236,0.8,Moderate,17,12
474,90,kinesthetic,Master topic,158,0.93,Slow,27,6
475,38,auditory,Complete course,50,0.72,Fast,19,20
476,31,kinesthetic,Gain certification,126,0.88,Moderate,12,2
477,23,kinesthetic,Complete course,149,0.25,Moderate,39,10
478,50,visual,Gain certification,172,0.25,Slow,4,9
479,96,kinesthetic,Gain certification,80,0.43,Moderate,20,16
480,12,visual,Master topic,122,0.77,Slow,12,1
481,17,kinesthetic,Gain certification,296,0.94,Slow,26,8
482,35,kinesthetic,Complete course,103,0.93,Fast,27,2
483,79,visual,Master topic,271,0.88,Moderate,21,16
484,2,auditory,Complete course,55,0.25,Fast,47,16
485,18,auditory,Master topic,78,0.6,Moderate,12,15
486,55,kinesthetic,Gain certification,184,0.27,Moderate,27,3
487,6,kinesthetic,Complete course,165,0.22,Moderate,2,3
488,12,visual,Master topic,70,0.34,Fast,45,3
